2016-05-13,Bengkulu,0833879863525,0
2016-05-15,Balikpapan,0833304553980,1
2016-05-14,Jakarta,0833863039071,1
2016-05-30,Balikpapan,0833013844060,0
2016-05-20,Balikpapan,0833579931023,1
2016-05-24,Balikpapan,0833941112799,0
2016-05-07,Medan,0833744752734,1
2016-05-22,Solo,0833886954365,0
2016-05-25,Semarang,0833142217756,1
2016-05-10,Bengkulu,0833923855713,0
2016-05-17,Surabaya,0833960030288,1
2016-05-18,Solo,0833326658923,0
2016-05-12,Jakarta,0833420106882,1
2016-05-19,Padang,0833563875508,1
2016-05-15,Padang,0833370362453,1
2016-05-27,Solo,0833503990226,1
2016-05-17,Jakarta,0833091909339,1
2016-05-04,Padang,0833642045730,1
2016-05-30,Balikpapan,0833335120319,1
2016-05-19,Bandung,0833174949002,0
2016-05-28,Surabaya,0833660158536,1
2016-05-30,Balikpapan,0833614091399,0
2016-05-19,Padang,0833475857462,0
2016-05-14,Jakarta,0833978349768,1
2016-05-23,Semarang,0833934741106,0
2016-05-12,Padang,0833386875533,1
2016-05-12,Surabaya,0833515488643,0
2016-05-23,Medan,0833730356862,1
2016-05-06,Padang,0833468572374,1
2016-05-15,Semarang,0833540139401,1
2016-05-27,Jakarta,0833493536820,1
2016-05-18,Surabaya,0833810601606,0
2016-05-10,Semarang,0833525428635,0
2016-05-24,Bengkulu,0833795325737,0
2016-05-09,Padang,0833635338819,0
2016-05-27,Balikpapan,0833669361549,1
2016-05-18,Bengkulu,0833866366473,1
2016-05-19,Surabaya,0833288969712,1
2016-05-16,Padang,0833834456565,1
2016-05-14,Jakarta,0833505186602,1
2016-05-15,Bandung,0833885806455,0
2016-05-13,Medan,0833829096893,0
2016-05-06,Balikpapan,0833781768617,1
2016-05-10,Jakarta,0833022918299,0
2016-05-18,Jakarta,0833175049285,1
2016-05-21,Bandung,0833152007170,0
2016-05-25,Balikpapan,0833648564872,0
2016-05-05,Jakarta,0833972317025,1
2016-05-12,Bengkulu,0833053793553,0
2016-05-12,Padang,0833958098389,0
2016-05-15,Medan,0833685428687,1
2016-05-27,Balikpapan,0833205461384,1
2016-05-14,Medan,0833742136539,1
2016-05-22,Surabaya,0833691261309,0
2016-05-27,Bengkulu,0833581659135,0
2016-05-04,Bandung,0833298811601,0
2016-05-07,Padang,0833101195420,1
2016-05-12,Padang,0833684940959,0
2016-05-12,Semarang,0833420316850,0
2016-05-07,Surabaya,0833617201292,1
2016-05-26,Bandung,0833807268995,0
2016-05-25,Padang,0833272544625,0
2016-05-11,Bandung,0833981773542,0
2016-05-25,Solo,0833490127459,0
2016-05-21,Medan,0833771205403,0
2016-05-28,Bandung,0833587509938,0
2016-05-29,Medan,0833038662392,0
2016-05-08,Padang,0833199289918,1
2016-05-17,Bengkulu,0833241545970,1
2016-05-03,Surabaya,0833096851128,1
2016-05-04,Padang,0833958776154,0
2016-05-21,Balikpapan,0833180864637,0
2016-05-17,Balikpapan,0833183208526,0
2016-05-12,Bengkulu,0833449575953,0
2016-05-10,Surabaya,0833196799702,1
2016-05-14,Medan,0833184793548,1
2016-05-16,Solo,0833012775570,0
2016-05-06,Medan,0833551400430,0
2016-05-10,Bengkulu,0833788364128,1
2016-05-04,Surabaya,0833516152494,1
2016-05-06,Semarang,0833633503736,0
2016-05-10,Bandung,0833981018650,1
2016-05-16,Jakarta,0833859135785,1
2016-05-11,Bengkulu,0833573258233,1
2016-05-07,Surabaya,0833144949403,0
2016-05-02,Bengkulu,0833466569812,0
2016-05-27,Bengkulu,0833040236701,1
2016-05-29,Jakarta,0833949585166,1
2016-05-25,Padang,0833909637829,0
2016-05-02,Solo,0833723185706,1
2016-05-13,Bengkulu,0833988334061,0
2016-05-03,Solo,0833040873418,1
2016-05-30,Surabaya,0833004672040,1
2016-05-01,Bandung,0833555680027,0
2016-05-10,Solo,0833394911794,1
2016-05-12,Semarang,0833523821616,0
2016-05-15,Solo,0833318742213,1
2016-05-23,Solo,0833916599796,0
2016-05-24,Padang,0833465427800,0
2016-05-07,Balikpapan,0833772665058,1
2016-05-08,Medan,0833823225312,1
2016-05-19,Surabaya,0833032111333,0
2016-05-17,Balikpapan,0833033826031,0
2016-05-25,Bengkulu,0833298337685,0
2016-05-21,Surabaya,0833074857425,0
2016-05-19,Medan,0833064942765,0
2016-05-09,Medan,0833983707505,0
2016-05-04,Padang,0833937756748,0
2016-05-22,Medan,0833748425525,1
2016-05-25,Padang,0833412701079,1
2016-05-13,Surabaya,0833890714003,0
2016-05-28,Balikpapan,0833608886733,1
2016-05-18,Padang,0833441741890,0
2016-05-03,Balikpapan,0833192772140,0
2016-05-04,Surabaya,0833938475654,1
2016-05-08,Solo,0833168506259,1
2016-05-16,Bandung,0833919729208,0
2016-05-15,Jakarta,0833008120876,0
2016-05-29,Semarang,0833223453891,0
2016-05-20,Medan,0833383855362,1
2016-05-02,Padang,0833548995800,0
2016-05-14,Medan,0833805700661,1
2016-05-21,Medan,0833034739195,0
2016-05-25,Semarang,0833034866793,1
2016-05-06,Bandung,0833214122313,1
2016-05-23,Surabaya,0833034820553,1
2016-05-17,Semarang,0833796459034,0
2016-05-13,Solo,0833021902498,0
2016-05-10,Jakarta,0833599785210,1
2016-05-19,Bengkulu,0833010289536,1
2016-05-21,Surabaya,0833450080449,1
2016-05-16,Padang,0833469865706,1
2016-05-13,Padang,0833915352607,0
2016-05-29,Medan,0833549177120,1
2016-05-23,Bengkulu,0833615669625,1
2016-05-06,Medan,0833134993498,1
2016-05-30,Bandung,0833964820329,0
2016-05-19,Padang,0833010630127,1
2016-05-05,Bandung,0833786985433,0
2016-05-01,Semarang,0833238494730,0
2016-05-12,Surabaya,0833283877392,0
2016-05-09,Semarang,0833092384641,0
